id,created_at,lang,emotions,key_emo
1.25706E+18,Sun May 03 21:33:37 +0000 2020,en,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:33:22 +0000 2020,en,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:33:10 +0000 2020,en,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:32:17 +0000 2020,en,"[{'score': 0.515576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:28:00 +0000 2020,en,"[{'score': 0.563762, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Joy', 'Analytical']"
1.25706E+18,Sun May 03 21:26:43 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25706E+18,Sun May 03 21:24:29 +0000 2020,en,"[{'score': 0.575077, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25706E+18,Sun May 03 21:23:13 +0000 2020,en,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25706E+18,Sun May 03 21:23:04 +0000 2020,en,"[{'score': 0.865159, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.727988, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Analytical', 'Tentative']"
1.25706E+18,Sun May 03 21:20:26 +0000 2020,en,"[{'score': 0.873263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25706E+18,Sun May 03 21:19:46 +0000 2020,en,"[{'score': 0.808633, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]","['Sadness', 'Confident']"
1.25706E+18,Sun May 03 21:19:35 +0000 2020,en,"[{'score': 0.539204, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.599421, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Sadness', 'Analytical', 'Tentative']"
1.25706E+18,Sun May 03 21:17:08 +0000 2020,en,"[{'score': 0.611202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25706E+18,Sun May 03 21:16:54 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25706E+18,Sun May 03 21:14:28 +0000 2020,en,"[{'score': 0.769251, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25706E+18,Sun May 03 21:14:03 +0000 2020,en,"[{'score': 0.611202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25705E+18,Sun May 03 21:10:15 +0000 2020,en,"[{'score': 0.624825, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25705E+18,Sun May 03 21:10:13 +0000 2020,en,"[{'score': 0.611202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25705E+18,Sun May 03 21:10:05 +0000 2020,en,"[{'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25705E+18,Sun May 03 21:09:22 +0000 2020,en,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25705E+18,Sun May 03 21:08:17 +0000 2020,en,"[{'score': 0.611202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25705E+18,Sun May 03 21:06:23 +0000 2020,en,"[{'score': 0.611202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25705E+18,Sun May 03 21:06:02 +0000 2020,en,"[{'score': 0.731731, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Joy', 'Tentative']"
1.25705E+18,Sun May 03 21:05:02 +0000 2020,en,"[{'score': 0.611202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.780088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25705E+18,Sun May 03 21:00:00 +0000 2020,en,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25705E+18,Sun May 03 20:57:54 +0000 2020,en,"[{'score': 0.55865, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25705E+18,Sun May 03 20:56:40 +0000 2020,en,"[{'score': 0.633969, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Sadness', 'Tentative']"
1.25705E+18,Sun May 03 20:55:46 +0000 2020,en,"[{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",['Confident']
1.25705E+18,Sun May 03 20:55:43 +0000 2020,en,"[{'score': 0.703409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25705E+18,Sun May 03 20:51:15 +0000 2020,en,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25705E+18,Sun May 03 20:49:25 +0000 2020,en,"[{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25705E+18,Sun May 03 20:42:58 +0000 2020,en,"[{'score': 0.813626, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
